FBgn0015239
FBgn0086680
FBgn0004396
FBgn0004652
FBgn0004394
FBgn0001147
FBgn0004837
FBgn0011723
FBgn0000576
FBgn0010433
FBgn0032130
FBgn0003270
FBgn0000472
FBgn0015014
FBgn0001269
FBgn0036126
FBgn0002023
FBgn0020912
FBgn0003028
FBgn0038402
FBgn0005638
FBgn0003567
FBgn0015664
FBgn0040465
FBgn0035144
FBgn0086758
FBgn0015381
FBgn0000370
FBgn0259172
FBgn0034821
FBgn0010768
FBgn0014343
FBgn0015542
FBgn0001148
FBgn0030058
FBgn0011648
FBgn0002931
FBgn0037436
FBgn0001078
FBgn0000099
FBgn0005558
FBgn0037735
FBgn0250756
FBgn0001325
FBgn0001222
FBgn0001170
FBgn0033182
FBgn0004795
FBgn0259789
FBgn0261703
FBgn0000577
FBgn0003002
FBgn0034520
FBgn0030532
FBgn0002985
FBgn0000611
FBgn0025679
FBgn0023546
FBgn0025776
FBgn0029957
FBgn0022699
FBgn0027364
FBgn0029711
FBgn0015550
FBgn0038316
FBgn0000061
FBgn0020378
FBgn0003117
FBgn0039225
FBgn0039740
FBgn0003448
FBgn0022740
FBgn0259938
FBgn0004870
FBgn0000233
FBgn0039733
FBgn0032209
FBgn0035956
FBgn0035849
FBgn0017578
FBgn0002573
FBgn0042650
FBgn0004170
FBgn0035405
FBgn0002631
FBgn0037446
FBgn0008636
FBgn0000448
FBgn0003254
FBgn0000606
FBgn0000210
FBgn0011236
FBgn0003300
FBgn0035160
FBgn0004893
FBgn0004892
FBgn0003986
FBgn0000054
FBgn0035481
FBgn0045759
FBgn0000286
FBgn0015524
FBgn0038391
FBgn0005612
FBgn0020309
FBgn0002723
FBgn0005613
FBgn0030432
FBgn0033749
FBgn0033748
FBgn0022935
FBgn0038852
FBgn0003900
FBgn0263112
FBgn0003499
FBgn0013948
FBgn0003715
FBgn0001077
FBgn0030408
FBgn0085424
FBgn0037475
FBgn0002522
FBgn0002521
FBgn0035625
FBgn0004102
FBgn0036179
FBgn0085448
FBgn0000529
FBgn0043457
FBgn0000964
FBgn0037206
FBgn0032741
FBgn0003430
FBgn0032587
FBgn0011758
FBgn0036274
FBgn0003345
FBgn0025334
FBgn0037672
FBgn0003129
FBgn0004862
FBgn0024250
FBgn0004880
FBgn0031375
FBgn0034810
FBgn0003118
FBgn0037937
FBgn0026058
FBgn0010109
FBgn0005561
FBgn0000567
FBgn0003870
FBgn0000287
FBgn0015904
FBgn0001168
FBgn0013799
FBgn0001323
FBgn0031232
FBgn0004567
FBgn0030505
FBgn0034012
FBgn0003339
FBgn0085432
FBgn0039411
FBgn0014018
FBgn0000560
FBgn0030673
FBgn0000504
FBgn0004618
FBgn0004110
FBgn0020617
FBgn0000439
FBgn0035407
FBgn0024321
FBgn0041156
FBgn0002734
FBgn0002735
FBgn0002733
FBgn0004053
FBgn0030899
FBgn0025360
FBgn0001185
FBgn0008651
FBgn0003130
FBgn0001180
FBgn0033288
FBgn0261113
FBgn0023215
FBgn0040318
FBgn0024249
FBgn0039350
FBgn0035997
FBgn0024184
FBgn0027339
FBgn0015919
FBgn0023489
FBgn0000137
FBgn0261283
FBgn0039169
FBgn0034945
FBgn0034946
FBgn0053980
FBgn0003964
FBgn0004914
FBgn0263108
FBgn0259750
FBgn0004666
FBgn0001297
FBgn0004054
FBgn0001291
FBgn0032651
FBgn0004510
FBgn0032940
FBgn0037722
FBgn0003513
FBgn0023091
FBgn0001981
FBgn0023094
FBgn0005694
FBgn0035454
FBgn0004895
FBgn0004863
FBgn0004865
FBgn0008646
FBgn0008649
FBgn0003053
FBgn0005660
FBgn0000028
FBgn0004198
FBgn0038766
FBgn0004854
FBgn0039905
FBgn0000022
FBgn0000097
FBgn0029822
FBgn0036900
FBgn0001204
FBgn0002561
FBgn0003720
FBgn0038787
FBgn0029775
FBgn0001235
FBgn0002941
FBgn0037207
FBgn0035691
FBgn0000411
FBgn0028996
FBgn0000413
FBgn0033616
FBgn0013263
FBgn0028386
FBgn0011278
FBgn0011277
FBgn0003507
FBgn0034599
FBgn0052532
FBgn0013753
FBgn0000251
FBgn0013751
FBgn0000095
FBgn0033782
FBgn0051481
FBgn0051632
FBgn0001320
FBgn0052105
FBgn0011701
FBgn0033010
FBgn0032223
FBgn0013469
FBgn0000492
FBgn0004859
FBgn0003651
FBgn0003396
FBgn0262139
FBgn0000157
FBgn0000015
FBgn0051782
FBgn0003944
FBgn0002922
FBgn0040765
FBgn0003460
FBgn0039509
FBgn0000591
FBgn0004050
FBgn0041092
FBgn0038197
FBgn0036423
FBgn0005630
FBgn0019650
FBgn0005658
FBgn0005659
FBgn0086910
FBgn0261239
FBgn0035824
FBgn0016076
FBgn0002609
FBgn0014949
FBgn0040918
FBgn0259211
FBgn0053557
FBgn0003267
FBgn0050420
FBgn0027788
FBgn0038592
FBgn0011655
FBgn0003896
FBgn0038833
FBgn0039039
FBgn0000568
FBgn0000166
FBgn0023076
FBgn0002633
FBgn0010323
FBgn0001994
FBgn0052830
FBgn0038418
FBgn0001150
FBgn0026411
FBgn0000462
FBgn0000459
FBgn0001983
FBgn0054031
FBgn0031573
FBgn0003145
FBgn0000014
FBgn0000659
FBgn0015561
FBgn0000546
