"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"f"	NA	0	"GSM237019"
TRUE	"m"	"GSM237019"	4.02	"GSM237020"
TRUE	"m"	"GSM237020"	4.02	"GSM237021"
TRUE	"m"	"GSM237021"	3.96	"GSM237022"
TRUE	"m"	"GSM237022"	4.02	"GSM237023"
TRUE	"m"	"GSM237023"	4.02	"GSM237024"
TRUE	"m"	"GSM237024"	3.96	"GSM237025"
TRUE	"m"	"GSM237025"	4.02	"GSM237026"
TRUE	"m"	"GSM237026"	4.02	"GSM237027"
TRUE	"m"	"GSM237027"	3.96	"GSM237028"
TRUE	"l"	"GSM237028"	4.02	"GSM237029"
TRUE	"f"	NA	0	"GSM237030"
TRUE	"m"	"GSM237030"	4.0007142857	"GSM237031"
TRUE	"m"	"GSM237031"	4.0007142857	"GSM237032"
TRUE	"m"	"GSM237032"	4.0007142857	"GSM237033"
TRUE	"m"	"GSM237033"	4.0007142857	"GSM237034"
TRUE	"m"	"GSM237034"	4.0007142857	"GSM237035"
TRUE	"m"	"GSM237035"	4.0007142857	"GSM237036"
TRUE	"m"	"GSM237036"	4.0007142857	"GSM237037"
TRUE	"m"	"GSM237037"	4.0007142857	"GSM237038"
TRUE	"m"	"GSM237038"	4.0007142857	"GSM237039"
TRUE	"m"	"GSM237039"	4.0007142857	"GSM237040"
TRUE	"m"	"GSM237040"	4.0007142857	"GSM237041"
TRUE	"m"	"GSM237041"	4.0007142857	"GSM237042"
TRUE	"m"	"GSM237042"	4.0007142857	"GSM237043"
TRUE	"m"	"GSM237043"	4.0007142857	"GSM237044"
TRUE	"m"	"GSM237044"	4.0007142857	"GSM237045"
TRUE	"m"	"GSM237045"	4.0007142857	"GSM237046"
TRUE	"m"	"GSM237046"	4.0007142857	"GSM237047"
TRUE	"m"	"GSM237047"	4.0007142857	"GSM237048"
TRUE	"m"	"GSM237048"	4.0007142857	"GSM237049"
TRUE	"m"	"GSM237049"	4.0007142857	"GSM237050"
TRUE	"m"	"GSM237050"	4.0007142857	"GSM237051"
TRUE	"m"	"GSM237051"	4.0007142857	"GSM237052"
TRUE	"m"	"GSM237052"	4.0007142857	"GSM237053"
TRUE	"m"	"GSM237053"	4.0007142857	"GSM237054"
TRUE	"m"	"GSM237054"	4.0007142857	"GSM237055"
TRUE	"m"	"GSM237055"	4.0007142857	"GSM237056"
TRUE	"m"	"GSM237056"	4.0007142857	"GSM237057"
TRUE	"m"	"GSM237057"	4.0007142857	"GSM237058"
TRUE	"m"	"GSM237058"	4.0007142857	"GSM237059"
TRUE	"m"	"GSM237059"	4.0007142857	"GSM237060"
TRUE	"m"	"GSM237060"	4.0007142857	"GSM237061"
TRUE	"m"	"GSM237061"	4.0007142857	"GSM237062"
TRUE	"m"	"GSM237062"	4.0007142857	"GSM237063"
TRUE	"m"	"GSM237063"	4.0007142857	"GSM237064"
TRUE	"m"	"GSM237064"	4.0007142857	"GSM237065"
TRUE	"l"	"GSM237065"	4.0007142857	"GSM237066"
TRUE	"f"	NA	0	"GSM479732"
TRUE	"m"	"GSM479732"	30	"GSM479734"
TRUE	"l"	"GSM479734"	45	"GSM479736"
TRUE	"f"	NA	0	"GSM479733"
TRUE	"m"	"GSM479733"	30	"GSM479735"
TRUE	"l"	"GSM479735"	45	"GSM479737"
TRUE	"f"	NA	0	"GSM479738"
TRUE	"m"	"GSM479738"	30	"GSM479741"
TRUE	"l"	"GSM479741"	45	"GSM479744"
TRUE	"f"	NA	0	"GSM479739"
TRUE	"m"	"GSM479739"	30	"GSM479742"
TRUE	"l"	"GSM479742"	45	"GSM479745"
TRUE	"f"	NA	0	"GSM479740"
TRUE	"m"	"GSM479740"	30	"GSM479743"
TRUE	"l"	"GSM479743"	45	"GSM479746"
FALSE	"e"	NA	0	"GSM554213"
FALSE	"e"	NA	0	"GSM554214"
TRUE	"f"	NA	0	"GSM567774"
TRUE	"m"	"GSM567774"	246	"GSM567775"
TRUE	"m"	"GSM567775"	165	"GSM567776"
TRUE	"m"	"GSM567776"	165	"GSM567777"
TRUE	"m"	"GSM567777"	294	"GSM567778"
TRUE	"m"	"GSM567778"	765	"GSM567779"
TRUE	"m"	"GSM567779"	924	"GSM567780"
TRUE	"l"	"GSM567780"	678	"GSM567781"
TRUE	"f"	NA	0	"GSM567782"
TRUE	"m"	"GSM567782"	2571	"GSM567788"
TRUE	"l"	"GSM567788"	480	"GSM567789"
FALSE	"e"	NA	0	"GSM614244"
TRUE	"f"	NA	0	"GSM564449"
TRUE	"m"	"GSM564449"	12	"GSM564450"
TRUE	"m"	"GSM564450"	168	"GSM564452"
TRUE	"m"	"GSM564452"	300	"GSM564453"
TRUE	"m"	"GSM564453"	960	"GSM564454"
TRUE	"l"	"GSM564454"	2880	"GSM564455"
TRUE	"f"	NA	0	"GSM564456"
TRUE	"m"	"GSM564456"	12	"GSM564457"
TRUE	"m"	"GSM564457"	48	"GSM564458"
TRUE	"m"	"GSM564458"	120	"GSM564459"
TRUE	"m"	"GSM564459"	300	"GSM564460"
TRUE	"m"	"GSM564460"	960	"GSM564461"
TRUE	"l"	"GSM564461"	2880	"GSM564462"
TRUE	"f"	NA	0	"GSM564463"
TRUE	"m"	"GSM564463"	12	"GSM564464"
TRUE	"m"	"GSM564464"	168	"GSM564466"
TRUE	"m"	"GSM564466"	300	"GSM564467"
TRUE	"m"	"GSM564467"	960	"GSM564468"
TRUE	"l"	"GSM564468"	3300	"GSM564469"
TRUE	"f"	NA	0	"GSM564470"
TRUE	"m"	"GSM564470"	12	"GSM564471"
TRUE	"m"	"GSM564471"	168	"GSM564473"
TRUE	"m"	"GSM564473"	300	"GSM564474"
TRUE	"m"	"GSM564474"	960	"GSM564475"
