"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
TRUE	"f"	NA	0	"GSM206780"
TRUE	"l"	"GSM206780"	360	"GSM206779"
FALSE	"e"	NA	0	"GSM206792"
FALSE	"e"	NA	0	"GSM218597"
FALSE	"e"	NA	0	"GSM218612"
FALSE	"e"	NA	0	"GSM218642"
TRUE	"f"	NA	0	"GSM307218"
TRUE	"m"	"GSM307218"	30	"GSM307219"
TRUE	"m"	"GSM307219"	40	"GSM307220"
TRUE	"m"	"GSM307220"	40	"GSM307221"
TRUE	"l"	"GSM307221"	40	"GSM307222"
TRUE	"f"	NA	0	"GSM307224"
TRUE	"m"	"GSM307224"	30	"GSM307225"
TRUE	"m"	"GSM307225"	40	"GSM307226"
TRUE	"m"	"GSM307226"	40	"GSM307227"
TRUE	"l"	"GSM307227"	40	"GSM307228"
TRUE	"f"	NA	0	"GSM307230"
TRUE	"m"	"GSM307230"	5	"GSM307231"
TRUE	"m"	"GSM307231"	5	"GSM307232"
TRUE	"m"	"GSM307232"	5	"GSM307233"
TRUE	"m"	"GSM307233"	5	"GSM307234"
TRUE	"m"	"GSM307234"	10	"GSM307235"
TRUE	"m"	"GSM307235"	10	"GSM307236"
TRUE	"m"	"GSM307236"	10	"GSM307237"
TRUE	"l"	"GSM307237"	10	"GSM307238"
TRUE	"f"	NA	0	"GSM307240"
TRUE	"m"	"GSM307240"	5	"GSM307241"
TRUE	"m"	"GSM307241"	5	"GSM307242"
TRUE	"m"	"GSM307242"	5	"GSM307243"
TRUE	"m"	"GSM307243"	5	"GSM307244"
TRUE	"m"	"GSM307244"	10	"GSM307245"
TRUE	"l"	"GSM307245"	10	"GSM307246"
TRUE	"f"	NA	0	"GSM307252"
TRUE	"m"	"GSM307252"	5	"GSM307253"
TRUE	"m"	"GSM307253"	5	"GSM307254"
TRUE	"m"	"GSM307254"	10	"GSM307255"
TRUE	"m"	"GSM307255"	10	"GSM307256"
TRUE	"m"	"GSM307256"	10	"GSM307257"
TRUE	"l"	"GSM307257"	10	"GSM307258"
TRUE	"f"	NA	0	"GSM307261"
TRUE	"m"	"GSM307261"	5	"GSM307262"
TRUE	"m"	"GSM307262"	5	"GSM307263"
TRUE	"m"	"GSM307263"	5	"GSM307264"
TRUE	"l"	"GSM307264"	10	"GSM307265"
FALSE	"e"	NA	0	"GSM385479"
FALSE	"e"	NA	0	"GSM385484"
TRUE	"f"	NA	0	"GSM385487"
TRUE	"m"	"GSM385487"	15	"GSM385488"
TRUE	"l"	"GSM385488"	15	"GSM385489"
TRUE	"f"	NA	0	"GSM385490"
TRUE	"m"	"GSM385490"	60	"GSM385491"
TRUE	"m"	"GSM385491"	120	"GSM385492"
TRUE	"l"	"GSM385492"	240	"GSM385493"
TRUE	"f"	NA	0	"GSM399866"
TRUE	"l"	"GSM399866"	15	"GSM399867"
TRUE	"f"	NA	0	"GSM399868"
TRUE	"l"	"GSM399868"	15	"GSM399869"
TRUE	"f"	NA	0	"GSM399871"
TRUE	"l"	"GSM399871"	15	"GSM399872"
FALSE	"e"	NA	0	"GSM421945"
FALSE	"e"	NA	0	"GSM421946"
TRUE	"f"	NA	0	"GSM421950"
TRUE	"l"	"GSM421950"	30	"GSM421952"
TRUE	"f"	NA	0	"GSM421951"
TRUE	"l"	"GSM421951"	30	"GSM421953"
TRUE	"f"	NA	0	"GSM421954"
TRUE	"m"	"GSM421954"	15	"GSM421956"
TRUE	"m"	"GSM421956"	15	"GSM421958"
TRUE	"l"	"GSM421958"	30	"GSM421960"
TRUE	"f"	NA	0	"GSM421955"
TRUE	"m"	"GSM421955"	15	"GSM421957"
TRUE	"m"	"GSM421957"	15	"GSM421959"
TRUE	"l"	"GSM421959"	30	"GSM421961"
TRUE	"f"	NA	0	"GSM421962"
TRUE	"m"	"GSM421962"	30	"GSM421964"
TRUE	"l"	"GSM421964"	30	"GSM421966"
TRUE	"f"	NA	0	"GSM421963"
TRUE	"m"	"GSM421963"	30	"GSM421965"
TRUE	"l"	"GSM421965"	30	"GSM421967"
TRUE	"f"	NA	0	"GSM421968"
TRUE	"m"	"GSM421968"	30	"GSM421970"
TRUE	"l"	"GSM421970"	30	"GSM421972"
TRUE	"f"	NA	0	"GSM421969"
TRUE	"m"	"GSM421969"	30	"GSM421971"
TRUE	"l"	"GSM421971"	30	"GSM421973"
TRUE	"f"	NA	0	"GSM421976"
TRUE	"l"	"GSM421976"	30	"GSM421978"
FALSE	"e"	NA	0	"GSM421979"
FALSE	"e"	NA	0	"GSM434019"
FALSE	"e"	NA	0	"GSM554211"
FALSE	"e"	NA	0	"GSM554212"
FALSE	"e"	NA	0	"GSM554216"
FALSE	"e"	NA	0	"GSM554219"
FALSE	"e"	NA	0	"GSM554220"
FALSE	"e"	NA	0	"GSM567786"
TRUE	"f"	NA	0	"GSM596853"
TRUE	"m"	"GSM596853"	45	"GSM596855"
TRUE	"m"	"GSM596855"	45	"GSM596856"
TRUE	"l"	"GSM596856"	90	"GSM596854"
TRUE	"f"	NA	0	"GSM596857"
TRUE	"m"	"GSM596857"	45	"GSM596859"
TRUE	"m"	"GSM596859"	45	"GSM596860"
TRUE	"l"	"GSM596860"	90	"GSM596858"
TRUE	"f"	NA	0	"GSM596861"
TRUE	"m"	"GSM596861"	90	"GSM596864"
TRUE	"l"	"GSM596864"	90	"GSM596862"
TRUE	"f"	NA	0	"GSM596865"
TRUE	"m"	"GSM596865"	90	"GSM596868"
TRUE	"l"	"GSM596868"	90	"GSM596866"
TRUE	"f"	NA	0	"GSM596869"
TRUE	"m"	"GSM596869"	45	"GSM596871"
TRUE	"m"	"GSM596871"	45	"GSM596872"
TRUE	"l"	"GSM596872"	90	"GSM596870"
