"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
FALSE	"e"	NA	0	"GSM1346244"
FALSE	"e"	NA	0	"GSM1346245"
FALSE	"e"	NA	0	"GSM1346246"
FALSE	"e"	NA	0	"GSM1346247"
FALSE	"e"	NA	0	"GSM1346248"
FALSE	"e"	NA	0	"GSM1502685"
FALSE	"e"	NA	0	"GSM1502686"
FALSE	"e"	NA	0	"GSM1502687"
FALSE	"e"	NA	0	"GSM1502688"
FALSE	"e"	NA	0	"GSM1502689"
FALSE	"e"	NA	0	"GSM1502690"
FALSE	"e"	NA	0	"GSM1502691"
FALSE	"e"	NA	0	"GSM1502692"
FALSE	"e"	NA	0	"GSM1502693"
FALSE	"e"	NA	0	"GSM1502694"
FALSE	"e"	NA	0	"GSM1507488"
FALSE	"e"	NA	0	"GSM1507491"
FALSE	"e"	NA	0	"GSM1507492"
FALSE	"e"	NA	0	"GSM1507494"
FALSE	"e"	NA	0	"GSM248449"
FALSE	"e"	NA	0	"GSM248452"
FALSE	"e"	NA	0	"GSM290992"
FALSE	"e"	NA	0	"GSM290993"
FALSE	"e"	NA	0	"GSM290994"
FALSE	"e"	NA	0	"GSM290995"
FALSE	"e"	NA	0	"GSM290996"
FALSE	"e"	NA	0	"GSM290997"
FALSE	"e"	NA	0	"GSM290998"
FALSE	"e"	NA	0	"GSM290999"
FALSE	"e"	NA	0	"GSM291000"
FALSE	"e"	NA	0	"GSM291001"
FALSE	"e"	NA	0	"GSM291002"
FALSE	"e"	NA	0	"GSM291003"
FALSE	"e"	NA	0	"GSM291140"
FALSE	"e"	NA	0	"GSM291141"
FALSE	"e"	NA	0	"GSM291142"
FALSE	"e"	NA	0	"GSM291525"
FALSE	"e"	NA	0	"GSM291538"
FALSE	"e"	NA	0	"GSM291539"
FALSE	"e"	NA	0	"GSM291540"
FALSE	"e"	NA	0	"GSM291554"
FALSE	"e"	NA	0	"GSM291555"
FALSE	"e"	NA	0	"GSM292045"
FALSE	"e"	NA	0	"GSM296856"
FALSE	"e"	NA	0	"GSM296857"
FALSE	"e"	NA	0	"GSM296858"
FALSE	"e"	NA	0	"GSM296859"
FALSE	"e"	NA	0	"GSM296860"
FALSE	"e"	NA	0	"GSM296861"
FALSE	"e"	NA	0	"GSM338560"
FALSE	"e"	NA	0	"GSM338561"
FALSE	"e"	NA	0	"GSM338562"
FALSE	"e"	NA	0	"GSM338563"
FALSE	"e"	NA	0	"GSM338564"
FALSE	"e"	NA	0	"GSM338565"
FALSE	"e"	NA	0	"GSM338566"
FALSE	"e"	NA	0	"GSM338567"
FALSE	"e"	NA	0	"GSM338568"
FALSE	"e"	NA	0	"GSM338569"
FALSE	"e"	NA	0	"GSM338570"
FALSE	"e"	NA	0	"GSM338571"
FALSE	"e"	NA	0	"GSM344245"
FALSE	"e"	NA	0	"GSM344257"
FALSE	"e"	NA	0	"GSM344264"
FALSE	"e"	NA	0	"GSM344269"
FALSE	"e"	NA	0	"GSM344272"
FALSE	"e"	NA	0	"GSM344274"
FALSE	"e"	NA	0	"GSM344281"
FALSE	"e"	NA	0	"GSM344291"
FALSE	"e"	NA	0	"GSM344295"
FALSE	"e"	NA	0	"GSM344297"
FALSE	"e"	NA	0	"GSM344298"
FALSE	"e"	NA	0	"GSM344304"
FALSE	"e"	NA	0	"GSM344308"
FALSE	"e"	NA	0	"GSM344310"
FALSE	"e"	NA	0	"GSM344312"
FALSE	"e"	NA	0	"GSM344313"
FALSE	"e"	NA	0	"GSM344317"
FALSE	"e"	NA	0	"GSM432203"
FALSE	"e"	NA	0	"GSM432204"
FALSE	"e"	NA	0	"GSM432205"
FALSE	"e"	NA	0	"GSM432206"
FALSE	"e"	NA	0	"GSM432207"
FALSE	"e"	NA	0	"GSM432208"
FALSE	"e"	NA	0	"GSM434047"
FALSE	"e"	NA	0	"GSM476081"
FALSE	"e"	NA	0	"GSM476082"
FALSE	"e"	NA	0	"GSM476083"
FALSE	"e"	NA	0	"GSM476084"
FALSE	"e"	NA	0	"GSM476085"
FALSE	"e"	NA	0	"GSM476086"
FALSE	"e"	NA	0	"GSM476087"
FALSE	"e"	NA	0	"GSM476088"
FALSE	"e"	NA	0	"GSM476089"
FALSE	"e"	NA	0	"GSM476090"
FALSE	"e"	NA	0	"GSM476091"
FALSE	"e"	NA	0	"GSM476092"
FALSE	"e"	NA	0	"GSM476093"
FALSE	"e"	NA	0	"GSM476094"
FALSE	"e"	NA	0	"GSM476095"
FALSE	"e"	NA	0	"GSM476096"
FALSE	"e"	NA	0	"GSM530137"
FALSE	"e"	NA	0	"GSM530138"
FALSE	"e"	NA	0	"GSM530141"
FALSE	"e"	NA	0	"GSM530142"
FALSE	"e"	NA	0	"GSM530143"
FALSE	"e"	NA	0	"GSM530144"
FALSE	"e"	NA	0	"GSM530146"
FALSE	"e"	NA	0	"GSM530147"
FALSE	"e"	NA	0	"GSM530148"
FALSE	"e"	NA	0	"GSM530149"
FALSE	"e"	NA	0	"GSM530150"
FALSE	"e"	NA	0	"GSM530151"
FALSE	"e"	NA	0	"GSM530152"
FALSE	"e"	NA	0	"GSM530153"
FALSE	"e"	NA	0	"GSM530154"
FALSE	"e"	NA	0	"GSM530155"
FALSE	"e"	NA	0	"GSM530156"
FALSE	"e"	NA	0	"GSM530157"
FALSE	"e"	NA	0	"GSM530158"
FALSE	"e"	NA	0	"GSM530159"
FALSE	"e"	NA	0	"GSM530160"
FALSE	"e"	NA	0	"GSM627771"
FALSE	"e"	NA	0	"GSM627772"
FALSE	"e"	NA	0	"GSM627773"
FALSE	"e"	NA	0	"GSM627774"
FALSE	"e"	NA	0	"GSM627775"
FALSE	"e"	NA	0	"GSM627776"
FALSE	"e"	NA	0	"GSM627777"
FALSE	"e"	NA	0	"GSM627778"
FALSE	"e"	NA	0	"GSM713178"
FALSE	"e"	NA	0	"GSM713179"
FALSE	"e"	NA	0	"GSM713180"
FALSE	"e"	NA	0	"GSM713181"
FALSE	"e"	NA	0	"GSM713182"
FALSE	"e"	NA	0	"GSM713183"
FALSE	"e"	NA	0	"GSM713185"
FALSE	"e"	NA	0	"GSM721113"
FALSE	"e"	NA	0	"GSM721115"
FALSE	"e"	NA	0	"GSM721128"
FALSE	"e"	NA	0	"GSM721129"
FALSE	"e"	NA	0	"GSM721130"
FALSE	"e"	NA	0	"GSM721131"
FALSE	"e"	NA	0	"GSM721132"
FALSE	"e"	NA	0	"GSM777666"
FALSE	"e"	NA	0	"GSM777667"
FALSE	"e"	NA	0	"GSM826845"
FALSE	"e"	NA	0	"GSM826846"
FALSE	"e"	NA	0	"GSM826847"
FALSE	"e"	NA	0	"GSM826848"
FALSE	"e"	NA	0	"GSM826849"
FALSE	"e"	NA	0	"GSM826850"
FALSE	"e"	NA	0	"GSM826851"
FALSE	"e"	NA	0	"GSM826852"
FALSE	"e"	NA	0	"GSM826853"
FALSE	"e"	NA	0	"GSM842098"
FALSE	"e"	NA	0	"GSM842105"
FALSE	"e"	NA	0	"GSM881835"
FALSE	"e"	NA	0	"GSM881836"
FALSE	"e"	NA	0	"GSM881837"
FALSE	"e"	NA	0	"GSM881838"
FALSE	"e"	NA	0	"GSM881839"
FALSE	"e"	NA	0	"GSM881840"
FALSE	"e"	NA	0	"GSM881841"
FALSE	"e"	NA	0	"GSM881842"
FALSE	"e"	NA	0	"GSM881843"
FALSE	"e"	NA	0	"GSM881859"
FALSE	"e"	NA	0	"GSM881860"
FALSE	"e"	NA	0	"GSM881861"
FALSE	"e"	NA	0	"GSM896067"
FALSE	"e"	NA	0	"GSM896068"
FALSE	"e"	NA	0	"GSM896069"
FALSE	"e"	NA	0	"GSM896070"
FALSE	"e"	NA	0	"GSM896071"
FALSE	"e"	NA	0	"GSM896072"
FALSE	"e"	NA	0	"GSM896073"
FALSE	"e"	NA	0	"GSM896074"
FALSE	"e"	NA	0	"GSM907178"
FALSE	"e"	NA	0	"GSM907179"
FALSE	"e"	NA	0	"GSM907180"
FALSE	"e"	NA	0	"GSM907183"
FALSE	"e"	NA	0	"GSM907184"
FALSE	"e"	NA	0	"GSM920571"
FALSE	"e"	NA	0	"GSM920572"
FALSE	"e"	NA	0	"GSM920573"
FALSE	"e"	NA	0	"GSM920574"
FALSE	"e"	NA	0	"GSM960658"
FALSE	"e"	NA	0	"GSM960659"
FALSE	"e"	NA	0	"GSM960660"
FALSE	"e"	NA	0	"GSM960667"
FALSE	"e"	NA	0	"GSM960668"
FALSE	"e"	NA	0	"GSM960669"
FALSE	"e"	NA	0	"GSM98269"
FALSE	"e"	NA	0	"GSM98270"
FALSE	"e"	NA	0	"GSM98271"
FALSE	"e"	NA	0	"GSM98286"
FALSE	"e"	NA	0	"GSM992848"
FALSE	"e"	NA	0	"GSM992849"
FALSE	"e"	NA	0	"GSM992850"
FALSE	"e"	NA	0	"GSM1571870"
FALSE	"e"	NA	0	"GSM1571871"
FALSE	"e"	NA	0	"GSM1571872"
FALSE	"e"	NA	0	"GSM1571873"
FALSE	"e"	NA	0	"GSM1571874"
FALSE	"e"	NA	0	"GSM1571875"
FALSE	"e"	NA	0	"GSM1571876"
FALSE	"e"	NA	0	"GSM1571877"
FALSE	"e"	NA	0	"GSM1571878"
FALSE	"e"	NA	0	"GSM1571879"
FALSE	"e"	NA	0	"GSM1571880"
FALSE	"e"	NA	0	"GSM1571881"
FALSE	"e"	NA	0	"GSM1571882"
FALSE	"e"	NA	0	"GSM1571883"
FALSE	"e"	NA	0	"GSM1571884"
FALSE	"e"	NA	0	"GSM1571885"
FALSE	"e"	NA	0	"GSM1571886"
FALSE	"e"	NA	0	"GSM1627961"
FALSE	"e"	NA	0	"GSM1627962"
