"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
FALSE	"e"	NA	0	"GSM206777"
TRUE	"f"	NA	0	"GSM206789"
TRUE	"l"	"GSM206789"	270	"GSM206791"
TRUE	"f"	NA	0	"GSM218598"
TRUE	"m"	"GSM218598"	16	"GSM218599"
TRUE	"m"	"GSM218599"	16	"GSM218600"
TRUE	"m"	"GSM218600"	16	"GSM218601"
TRUE	"m"	"GSM218601"	16	"GSM218602"
TRUE	"m"	"GSM218602"	16	"GSM218603"
TRUE	"m"	"GSM218603"	16	"GSM218604"
TRUE	"m"	"GSM218604"	16	"GSM218605"
TRUE	"m"	"GSM218605"	16	"GSM218606"
TRUE	"m"	"GSM218606"	16	"GSM218607"
TRUE	"m"	"GSM218607"	16	"GSM218608"
TRUE	"m"	"GSM218608"	16	"GSM218609"
TRUE	"m"	"GSM218609"	16	"GSM218610"
TRUE	"l"	"GSM218610"	16	"GSM218611"
TRUE	"f"	NA	0	"GSM218613"
TRUE	"m"	"GSM218613"	16	"GSM218614"
TRUE	"m"	"GSM218614"	16	"GSM218615"
TRUE	"m"	"GSM218615"	16	"GSM218616"
TRUE	"m"	"GSM218616"	16	"GSM218617"
TRUE	"m"	"GSM218617"	16	"GSM218618"
TRUE	"m"	"GSM218618"	16	"GSM218619"
TRUE	"m"	"GSM218619"	16	"GSM218620"
TRUE	"m"	"GSM218620"	16	"GSM218621"
TRUE	"m"	"GSM218621"	16	"GSM218622"
TRUE	"m"	"GSM218622"	16	"GSM218623"
TRUE	"m"	"GSM218623"	16	"GSM218624"
TRUE	"m"	"GSM218624"	16	"GSM218625"
TRUE	"l"	"GSM218625"	16	"GSM218626"
TRUE	"f"	NA	0	"GSM218627"
TRUE	"m"	"GSM218627"	16	"GSM218628"
TRUE	"m"	"GSM218628"	16	"GSM218629"
TRUE	"m"	"GSM218629"	16	"GSM218630"
TRUE	"m"	"GSM218630"	16	"GSM218631"
TRUE	"m"	"GSM218631"	16	"GSM218632"
TRUE	"m"	"GSM218632"	16	"GSM218633"
TRUE	"m"	"GSM218633"	16	"GSM218634"
TRUE	"m"	"GSM218634"	16	"GSM218635"
TRUE	"m"	"GSM218635"	16	"GSM218636"
TRUE	"m"	"GSM218636"	16	"GSM218637"
TRUE	"m"	"GSM218637"	16	"GSM218638"
TRUE	"m"	"GSM218638"	16	"GSM218639"
TRUE	"m"	"GSM218639"	16	"GSM218640"
TRUE	"l"	"GSM218640"	16	"GSM218641"
TRUE	"f"	NA	0	"GSM218643"
TRUE	"m"	"GSM218643"	16	"GSM218644"
TRUE	"m"	"GSM218644"	16	"GSM218645"
TRUE	"m"	"GSM218645"	16	"GSM218646"
TRUE	"m"	"GSM218646"	16	"GSM218647"
TRUE	"m"	"GSM218647"	16	"GSM218648"
TRUE	"m"	"GSM218648"	16	"GSM218649"
TRUE	"m"	"GSM218649"	16	"GSM218650"
TRUE	"m"	"GSM218650"	16	"GSM218651"
TRUE	"m"	"GSM218651"	16	"GSM218652"
TRUE	"m"	"GSM218652"	16	"GSM218653"
TRUE	"m"	"GSM218653"	16	"GSM218654"
TRUE	"m"	"GSM218654"	16	"GSM218655"
TRUE	"l"	"GSM218655"	16	"GSM218656"
FALSE	"e"	NA	0	"GSM239508"
FALSE	"e"	NA	0	"GSM239509"
FALSE	"e"	NA	0	"GSM307217"
FALSE	"e"	NA	0	"GSM307223"
TRUE	"f"	NA	0	"GSM307250"
TRUE	"l"	"GSM307250"	5	"GSM307251"
FALSE	"e"	NA	0	"GSM307260"
FALSE	"e"	NA	0	"GSM356518"
FALSE	"e"	NA	0	"GSM356528"
TRUE	"f"	NA	0	"GSM385480"
TRUE	"l"	"GSM385480"	15	"GSM385481"
TRUE	"f"	NA	0	"GSM385482"
TRUE	"l"	"GSM385482"	60	"GSM385483"
FALSE	"l"	NA	0	"GSM399865"
FALSE	"l"	NA	0	"GSM399865"
FALSE	"l"	NA	0	"GSM399865"
TRUE	"m"	"GSM399865"	15	"GSM399870"
TRUE	"l"	"GSM399870"	75	"GSM399873"
FALSE	"l"	NA	0	"GSM399865"
TRUE	"m"	"GSM399865"	15	"GSM399874"
TRUE	"m"	"GSM399874"	15	"GSM399875"
TRUE	"m"	"GSM399875"	15	"GSM399876"
TRUE	"l"	"GSM399876"	45	"GSM399877"
FALSE	"l"	NA	0	"GSM399865"
TRUE	"m"	"GSM399865"	15	"GSM399878"
TRUE	"l"	"GSM399878"	30	"GSM399879"
FALSE	"l"	NA	0	"GSM399865"
TRUE	"m"	"GSM399865"	15	"GSM399880"
TRUE	"m"	"GSM399880"	15	"GSM399881"
TRUE	"m"	"GSM399881"	15	"GSM399882"
TRUE	"l"	"GSM399882"	45	"GSM399883"
FALSE	"l"	NA	0	"GSM399865"
TRUE	"m"	"GSM399865"	15	"GSM399884"
TRUE	"l"	"GSM399884"	30	"GSM399885"
TRUE	"f"	NA	0	"GSM421939"
TRUE	"m"	"GSM421939"	15	"GSM421941"
TRUE	"l"	"GSM421941"	15	"GSM421943"
TRUE	"f"	NA	0	"GSM421940"
TRUE	"m"	"GSM421940"	15	"GSM421942"
TRUE	"l"	"GSM421942"	15	"GSM421944"
TRUE	"f"	NA	0	"GSM421947"
TRUE	"l"	"GSM421947"	15	"GSM421949"
FALSE	"e"	NA	0	"GSM421948"
FALSE	"e"	NA	0	"GSM421974"
TRUE	"f"	NA	0	"GSM421975"
TRUE	"l"	"GSM421975"	30	"GSM421977"
FALSE	"e"	NA	0	"GSM434015"
FALSE	"e"	NA	0	"GSM434016"
TRUE	"f"	NA	0	"GSM434017"
TRUE	"l"	"GSM434017"	120	"GSM434020"
TRUE	"f"	NA	0	"GSM434021"
TRUE	"l"	"GSM434021"	120	"GSM434024"
TRUE	"f"	NA	0	"GSM434022"
TRUE	"l"	"GSM434022"	120	"GSM434025"
TRUE	"f"	NA	0	"GSM434023"
TRUE	"l"	"GSM434023"	120	"GSM434026"
FALSE	"l"	NA	0	"GSM554210"
FALSE	"l"	NA	0	"GSM554210"
FALSE	"l"	NA	0	"GSM554210"
FALSE	"l"	NA	0	"GSM554210"
FALSE	"l"	NA	0	"GSM554210"
TRUE	"l"	"GSM554210"	30	"GSM554215"
FALSE	"l"	NA	0	"GSM554210"
FALSE	"l"	NA	0	"GSM554210"
TRUE	"l"	"GSM554210"	30	"GSM554217"
FALSE	"l"	NA	0	"GSM554210"
TRUE	"l"	"GSM554210"	30	"GSM554218"
FALSE	"l"	NA	0	"GSM554210"
FALSE	"l"	NA	0	"GSM554210"
TRUE	"f"	NA	0	"GSM567783"
TRUE	"m"	"GSM567783"	361.8	"GSM567784"
TRUE	"m"	"GSM567784"	390	"GSM567785"
TRUE	"l"	"GSM567785"	1127.4	"GSM567787"
FALSE	"e"	NA	0	"GSM596863"
FALSE	"e"	NA	0	"GSM596867"
TRUE	"f"	NA	0	"GSM630776"
TRUE	"l"	"GSM630776"	15	"GSM630777"
FALSE	"e"	NA	0	"GSM673318"
FALSE	"e"	NA	0	"GSM673329"
FALSE	"e"	NA	0	"GSM673330"
FALSE	"e"	NA	0	"GSM673331"
FALSE	"e"	NA	0	"GSM673341"
FALSE	"e"	NA	0	"GSM673342"
FALSE	"e"	NA	0	"GSM673343"
TRUE	"f"	NA	0	"GSM674597"
TRUE	"l"	"GSM674597"	15	"GSM674600"
TRUE	"f"	NA	0	"GSM674598"
TRUE	"l"	"GSM674598"	15	"GSM674601"
TRUE	"f"	NA	0	"GSM674599"
TRUE	"l"	"GSM674599"	15	"GSM674602"
TRUE	"f"	NA	0	"GSM772665"
TRUE	"l"	"GSM772665"	240	"GSM772668"
