"YKR009C"	1
"YDL157C"	2
"YER059W"	1
"YGL059W"	1
"YDR481C"	2
"YML113W"	2
"YIL157C"	1
"YPR003C"	2
"YNR074C"	4
"YLR154C-H"	5
"YKL012W"	2
"YJL147C"	1
"YDL216C"	1
"YNL320W"	2
"YHL007C"	2
"YPL223C"	5
"YKL138C"	1
"YNL126W"	2
"YKL055C"	3
"YML035C"	2
"YER087C-B"	3
"YIL160C"	1
"YLR050C"	4
"YOR037W"	1
"YOL008W"	4
"YOR072W-B"	2
"YPL253C"	2
"YDL048C"	3
"YDR056C"	2
"YNL083W"	1
"YCR081W"	2
"YDL159W"	3
"YCR024C-B"	2
"YPL154C"	4
"YDR020C"	2
"YOR290C"	2
"YGR267C"	3
"YNL216W"	2
"YFL034C-B"	3
"YEL031W"	2
"YBR238C"	2
"YFL045C"	2
"YGL222C"	3
"YIR021W"	2
"YHR014W"	3
"YEL006W"	1
"YDL029W"	4
"YLR401C"	2
"YDR447C"	2
"YOR192C-C"	3
"YER026C"	4
"YLR287C-A"	2
"YKL195W"	5
"YDR144C"	2
"YDR439W"	1
"YBR149W"	5
"YER114C"	1
"YMR247C"	2
"YMR076C"	2
"YGR056W"	2
"YAL013W"	2
"YPR002W"	1
"YOR175C"	2
"YDL167C"	2
"YDR465C"	2
"YJL201W"	4
"YDR495C"	2
"YDR501W"	2
"YHL010C"	5
"YHR152W"	2
"YER035W"	1
"YHR002W"	1
"YPL020C"	1
"YLR286C"	2
"YKL061W"	3
"YHR131C"	3
"YJL185C"	1
"YMR317W"	3
"YIL125W"	1
"YPL065W"	3
"YGR130C"	1
"YDL049C"	1
"YBR065C"	3
"YJR082C"	3
"YMR182C"	3
"YPL264C"	1
"YPL199C"	2
"YGR080W"	3
"YLR125W"	3
"YNL292W"	3
"YAR033W"	5
"YKL063C"	4
"YIL010W"	2
"YGR113W"	4
"YLR266C"	2
"YPL050C"	2
"YDR447C.1"	2
"YML019W"	2
"YKL166C"	2
"YJR139C"	4
"YNR038W"	2
"YJL165C"	4
"YFL012W"	1
"YDL086W"	4
"YIL176C"	4
"YKL096W"	2
"YLR064W"	2
"YBR194W"	3
"YEL003W"	2
"YDR205W"	1
"YKL075C"	1
"YHR198C"	1
"YGL138C"	3
"YMR212C"	2
"YNR055C"	2
"YNL222W"	3
"YPR042C"	3
"YLR149C"	1
"YOR271C"	2
"YHR197W"	2
"YAL034C"	1
"YOR084W"	1
"YGL083W"	2
"YDR140W"	4
"YMR216C"	2
"YJL042W"	5
"YDR472W"	1
"YDR207C"	1
"YIL075C"	5
"YGR010W"	1
"YDR245W"	2
"YDR473C"	3
"YOR187W"	5
"YDR486C"	1
"YMR003W"	1
"YGL121C"	1
"YJL186W"	2
"YBR285W"	1
"YOL028C"	2
"YMR220W"	2
"YAR002W"	2
"YMR049C"	2
"YOR069W"	2
"YDR479C"	5
"YKR038C"	2
"YPR106W"	2
"YBL031W"	2
"YOR124C"	1
"YDL149W"	1
"YDR072C"	4
"YPL269W"	1
"YGL107C"	1
"YGR110W"	1
"YOR394C-A"	3
"YNL291C"	2
"YBR157C"	2
"YKL192C"	5
"YKR035W-A"	1
"YJL047C-A"	1
"YLR283W"	3
"YMR291W"	1
"YLR151C"	5
"YOR165W"	4
"YHR079C"	1
"YMR184W"	2
"YBL018C"	1
"YNL095C"	2
"YPL101W"	2
"YGR124W"	2
"YBR169C"	1
"YMR069W"	3
"YDR068W"	1
"YBR260C"	2
"YML017W"	3
"YDR466W"	1
"YCL068C"	3
"YFL049W"	1
"YKL167C"	1
"YOR264W"	3
"YIR039C"	5
"YDL061C"	2
"YKL108W"	1
"YLR127C"	2
"YOL122C"	2
"YKL208W"	1
"YPR117W"	1
"YPL119C"	1
"YDL177C"	1
"YDR195W"	1
"YER053C"	1
"YOL105C"	2
"YOR104W"	1
"YCL018W"	1
"YBR110W"	2
"YDR518W"	2
"YDR210W"	2
"YJR033C"	1
"YLR089C"	2
"YBL036C"	2
"YDR363W"	1
"YBR002C"	3
"YMR227C"	2
"YJL097W"	2
"YNL118C"	2
"YIL161W"	3
"YCL054W"	2
"YDR006C"	1
"YOL019W-A"	3
"YOL162W"	5
"YPR121W"	1
"YPR031W"	1
"YFL039C"	2
"YFL047W"	2
"YDR331W"	2
"YGR174W-A"	1
"YDR515W"	2
"YDL184C"	2
"YHR128W"	2
"YDR261C"	2
"YOL077W-A"	1
"YJR058C"	1
"YDR118W"	1
"YDR119W"	2
"YDL125C"	4
"YDL191W"	2
"YMR178W"	4
"YGR083C"	2
"YDR253C"	1
